Question,Answer
What is the maximum level a champion can reach in a standard game of League of Legends?," ""18"""
Which champion is known as the 'Unforgiven'?," ""Yasuo"""
What item grants the highest amount of attack damage?," ""Infinity Edge"""
Which dragon provides a team-wide movement speed buff when defeated?," ""Cloud Drake"""
Who is Garen's sister?," ""Lux"""
What is the passive ability of the item 'Rabadon's Deathcap'?," ""Increases ability power by 35%"""
Which champion has the ability 'Death Mark'?," ""Zed"""
Which champion is a Yordle and the inventor of Hextech?," ""Heimerdinger"""
What is the primary role of the champion 'Janna'?," ""Support"""
Which champion can reset their auto attack with the ability 'Flurry'?," ""Lee Sin"""
What is the cooldown reduction cap in League of Legends?," ""40%"""
What type of damage does the ability 'True Shot Barrage' deal?," ""Magic Damage"""
Which champion can summon Tibbers?," ""Annie"""
Which item provides an active that reveals a small area of the map?," ""Oracle Lens"""
Which champion is known as the 'Mad Chemist'?," ""Singed"""
What ability allows Thresh to pull an enemy towards him?," ""Death Sentence"""
Which champion is referred to as 'The Exile'?," ""Riven"""
Which champion is capable of placing mushrooms that explode on contact?," ""Teemo"""
What is the name of the neutral monster that grants a global gold bonus when slain?," ""Rift Herald"""
What is the effect of the item 'Guardian Angel' upon death?," ""Revives the champion with 50% base health and 30% mana"""
Which champion has a pet bear named Tibbers?," ""Annie"""
What role does the champion 'Caitlyn' primarily play?," ""AD Carry"""
Which item reduces the healing effects of enemies?," ""Mortal Reminder"""
What is the unique passive of the item 'Sunfire Aegis'?," ""Immolation - deals magic damage per second to nearby enemies"""
Which champion can use 'Consume' to heal by eating minions?," ""Nunu"""
Who is the sister of Kayle in League of Legends?," ""Morgana"""
Which summoner spell grants a brief speed boost and ghosting effect?," ""Ghost"""
Which item grants the highest amount of ability power?," ""Rabadon's Deathcap"""
What is the name of Rengar's ultimate ability?," ""Thrill of the Hunt"""
Which champion is known for saying 'I will be the best'?," ""Draven"""
What is the passive ability of the champion 'Soraka'?," ""Salvation - gains movement speed when moving towards low-health allies"""
Which champion can turn invisible with the ability 'Twilight Shroud'?," ""Akali"""
What is the unique effect of the item 'Luden's Echo'?," ""Echo - damaging abilities deal bonus magic damage to the first target hit"""
Which champion's ultimate ability is 'Grand Skyfall'?," ""Pantheon"""
Which champion can control a shadow with the ability 'Living Shadow'?," ""Zed"""
